fips,region,time,population
00,United States,1900,76094000.0
00,United States,1901,77584000.0
00,United States,1902,79163000.0
00,United States,1903,80632000.0
00,United States,1904,82166000.0
00,United States,1905,83822000.0
00,United States,1906,85450000.0
00,United States,1907,87008000.0
00,United States,1908,88710000.0
00,United States,1909,90490000.0
00,United States,1910,92407000.0
00,United States,1911,93863000.0
00,United States,1912,95335000.0
00,United States,1913,97225000.0
00,United States,1914,99111000.0
00,United States,1915,100546000.0
00,United States,1916,101961000.0
00,United States,1917,103268000.0
00,United States,1918,103208000.0
00,United States,1919,104514000.0
00,United States,1920,106461000.0
00,United States,1921,108538000.0
00,United States,1922,110049000.0
00,United States,1923,111947000.0
00,United States,1924,114109000.0
00,United States,1925,115829000.0
00,United States,1926,117397000.0
00,United States,1927,119035000.0
00,United States,1928,120509000.0
00,United States,1929,121767000.0
00,United States,1930,123076741.0
00,United States,1931,124039648.0
00,United States,1932,124840471.0
00,United States,1933,125578763.0
00,United States,1934,126373773.0
00,United States,1935,127250232.0
00,United States,1936,128053180.0
00,United States,1937,128824829.0
00,United States,1938,129824939.0
00,United States,1939,130879718.0
00,United States,1940,132122446.0
00,United States,1941,133402471.0
00,United States,1942,134859553.0
00,United States,1943,136739353.0
00,United States,1944,138397345.0
00,United States,1945,139928165.0
00,United States,1946,141388566.0
00,United States,1947,144126071.0
00,United States,1948,146631302.0
00,United States,1949,149188130.0
00,United States,1950,152271417.0
00,United States,1951,154877889.0
00,United States,1952,157552740.0
00,United States,1953,160184192.0
00,United States,1954,163025854.0
00,United States,1955,165931202.0
00,United States,1956,168903031.0
00,United States,1957,171984130.0
00,United States,1958,174881904.0
00,United States,1959,177829628.0
00,United States,1960,180671158.0
00,United States,1961,183691481.0
00,United States,1962,186537737.0
00,United States,1963,189241798.0
00,United States,1964,191888791.0
00,United States,1965,194302963.0
00,United States,1966,196560338.0
00,United States,1967,198712056.0
00,United States,1968,200706052.0
00,United States,1969,202676946.0
00,United States,1970,205052174.0
00,United States,1971,207660677.0
00,United States,1972,209896021.0
00,United States,1973,211908788.0
00,United States,1974,213853928.0
00,United States,1975,215973199.0
00,United States,1976,218035164.0
00,United States,1977,220239425.0
00,United States,1978,222584545.0
00,United States,1979,225055487.0
00,United States,1980,227224681.0
00,United States,1981,229465714.0
00,United States,1982,231664458.0
00,United States,1983,233791994.0
00,United States,1984,235824902.0
00,United States,1985,237923795.0
00,United States,1986,240132887.0
00,United States,1987,242288918.0
00,United States,1988,244498982.0
00,United States,1989,246819230.0
00,United States,1990,249464396.0
00,United States,1991,252153092.0
00,United States,1992,255029699.0
00,United States,1993,257782608.0
00,United States,1994,260327021.0
00,United States,1995,262803276.0
00,United States,1996,265228572.0
00,United States,1997,267783607.0
00,United States,1998,270248003.0
00,United States,1999,272690813.0
00,United States,2000,282162411.0
00,United States,2001,284968955.0
00,United States,2002,287625193.0
00,United States,2003,290107933.0
00,United States,2004,292805298.0
00,United States,2005,295516599.0
00,United States,2006,298379912.0
00,United States,2007,301231207.0
00,United States,2008,304093966.0
00,United States,2009,306771529.0
00,United States,2010,309321666.0
00,United States,2011,311556874.0
00,United States,2012,313830990.0
00,United States,2013,315993715.0
00,United States,2014,318301008.0
00,United States,2015,320635163.0
00,United States,2016,322941311.0
00,United States,2017,324985539.0
00,United States,2018,326687501.0
00,United States,2019,328239523.0
00,United States,2020,329484123.0
00,United States,2021,331893745.0
